,base_market,quote_market,hedge_ratio,half_life
0,SNX-USD,RUNE-USD,1.7346335836974316,17.0
1,SNX-USD,NEAR-USD,1.3036279725495827,19.0
2,SNX-USD,DOGE-USD,31.35429665690372,23.0
3,SNX-USD,AAVE-USD,0.03434459804253869,9.0
4,SNX-USD,ETH-USD,0.0014058871527159093,14.0
5,XTZ-USD,ETC-USD,0.05425284525362376,12.0
6,XTZ-USD,LINK-USD,0.15335809960793498,17.0
7,XTZ-USD,ATOM-USD,0.09959837456742135,5.0
8,XTZ-USD,BCH-USD,0.008934601934399992,10.0
9,XTZ-USD,COMP-USD,0.02611414601882319,8.0
10,XTZ-USD,BTC-USD,3.974043313036759e-05,12.0
11,XTZ-USD,SOL-USD,0.05396087521543394,7.0
12,XTZ-USD,LTC-USD,0.012180588375327577,9.0
13,XTZ-USD,UNI-USD,0.1868167739233735,24.0
14,XTZ-USD,MATIC-USD,1.0078660321407065,13.0
15,ICP-USD,BTC-USD,0.00017802009004825383,10.0
16,ETC-USD,LINK-USD,2.8265687670194537,12.0
17,ETC-USD,ATOM-USD,1.8354679086405405,8.0
18,ETC-USD,TRX-USD,313.7802557270952,9.0
19,ETC-USD,COMP-USD,0.48129536282975194,5.0
20,ETC-USD,NEAR-USD,10.465372978336442,12.0
21,ETC-USD,SUSHI-USD,18.954851649095886,20.0
22,ETC-USD,DOT-USD,3.306993617897577,11.0
23,ETC-USD,UNI-USD,3.4435345511715756,8.0
24,ETC-USD,MATIC-USD,18.575834528416227,7.0
25,ETC-USD,1INCH-USD,39.03318590228129,24.0
26,ZEC-USD,CELO-USD,57.045016008077994,19.0
27,ZEC-USD,TRX-USD,570.3886990625435,10.0
28,LINK-USD,1INCH-USD,13.809508000603135,15.0
29,MKR-USD,TRX-USD,10473.965005272203,11.0
30,MKR-USD,ETH-USD,0.3766592288400732,16.0
31,ATOM-USD,BCH-USD,0.08969952505993671,11.0
32,ATOM-USD,FIL-USD,1.9864198685470462,20.0
33,ATOM-USD,TRX-USD,170.9158635999836,17.0
34,ATOM-USD,YFI-USD,0.0013056998759165426,18.0
35,ATOM-USD,COMP-USD,0.26218158367625505,6.0
36,ATOM-USD,XMR-USD,0.07056535710487585,16.0
37,ATOM-USD,UMA-USD,5.384544206247683,9.0
38,ATOM-USD,BTC-USD,0.00039897926118590037,12.0
39,ATOM-USD,DOT-USD,1.8012176678065994,22.0
40,ATOM-USD,SOL-USD,0.5417536895363019,5.0
41,ATOM-USD,LTC-USD,0.12228608644092541,10.0
42,ATOM-USD,UNI-USD,1.8756429181588807,18.0
43,ATOM-USD,MATIC-USD,10.118702067243808,10.0
44,ATOM-USD,AVAX-USD,0.6436594521466115,22.0
45,BCH-USD,UMA-USD,60.011185287625366,15.0
46,BCH-USD,LTC-USD,1.3631707416580823,6.0
47,CELO-USD,XLM-USD,6.332709466807213,18.0
48,CELO-USD,SUSHI-USD,0.6032566489946158,14.0
49,CELO-USD,AVAX-USD,0.037589619365877826,21.0
50,CELO-USD,ETH-USD,0.000359013196902033,18.0
51,FIL-USD,EOS-USD,4.780538836997715,19.0
52,FIL-USD,NEAR-USD,2.869070833069629,9.0
53,FIL-USD,SUSHI-USD,5.196099391201017,21.0
54,FIL-USD,1INCH-USD,10.700119458939563,22.0
55,TRX-USD,EOS-USD,0.055573913972048666,18.0
56,TRX-USD,SUSHI-USD,0.06040220395301162,19.0
57,YFI-USD,ALGO-USD,39616.74131047307,12.0
58,YFI-USD,1INCH-USD,16283.668760225142,16.0
59,COMP-USD,XMR-USD,0.2691106710569172,18.0
60,COMP-USD,UMA-USD,20.534551707506072,11.0
61,COMP-USD,BTC-USD,0.0015217365540994242,7.0
62,COMP-USD,DOT-USD,6.87032629911333,14.0
63,COMP-USD,UNI-USD,7.154146567804445,11.0
64,COMP-USD,MATIC-USD,38.594232042057634,4.0
65,COMP-USD,1INCH-USD,81.09193887547261,24.0
66,XLM-USD,ADA-USD,0.2715396446630626,19.0
67,NEAR-USD,SUSHI-USD,1.8110962289231434,12.0
68,NEAR-USD,ADA-USD,5.165527206726768,23.0
69,NEAR-USD,AVAX-USD,0.11290412676491211,8.0
70,NEAR-USD,ETH-USD,0.001078132531508983,9.0
71,ALGO-USD,BTC-USD,7.708620044408048e-06,22.0
72,ALGO-USD,1INCH-USD,0.41097250308298006,12.0
73,XMR-USD,UMA-USD,76.27957154961977,13.0
74,SUSHI-USD,AVAX-USD,0.06232254421006936,11.0
75,SUSHI-USD,ETH-USD,0.0005951906142686174,6.0
76,UMA-USD,DOT-USD,0.33427231292858967,20.0
77,UMA-USD,LTC-USD,0.022694675500408525,13.0
78,UMA-USD,UNI-USD,0.348088712001871,18.0
79,UMA-USD,MATIC-USD,1.8778744281782866,14.0
80,UMA-USD,AVAX-USD,0.1194615805769963,17.0
81,UMA-USD,ETH-USD,0.0011406546417195794,21.0
82,BTC-USD,1INCH-USD,53293.12196059123,23.0
83,UNI-USD,MATIC-USD,5.39379457589195,10.0
